State_Year,Population_18_24,Population_35_39,Population_45_49,Population_55_59,Population_75_79,Population_85_Over,Median_Income,White_Pop,Minority_Pop,Hispanic_Pop,Population_Density,Pres_Label
MA_2016,0.130325867,0.075187944,0.085212954,0.08897247,0.032581559,0.028822042,1.762214677,0.802230396,0.196207369,0.098224642,0.514984663,1
MI_2016,0.125802286,0.075738103,0.083440305,0.093709821,0.034659908,0.026957707,-0.592586998,0.802329202,0.19756025,0.040338488,0.07947156,0
MN_2016,0.119791627,0.085937441,0.082031162,0.092447907,0.03125,0.028645814,0.766974621,0.857960507,0.139595945,0.041529459,0.048234792,1
MS_2016,0.136242993,0.083333149,0.080687856,0.085978885,0.034391465,0.022486983,-1.693204196,0.604840484,0.392829782,0.023736825,0.046121628,0
MO_2016,0.124352332,0.081606218,0.080310881,0.091968912,0.034974093,0.027202073,-0.667354097,0.835267728,0.160039679,0.032066867,0.066969282,0
MT_2016,0.124199382,0.076824917,0.075543929,0.096029918,0.038412459,0.026888475,-0.817095119,0.905072984,0.090775778,0.028013485,0.004965113,0
NE_2016,0.131648675,0.085106383,0.075797785,0.086436083,0.031914894,0.029255493,-0.122784881,0.891163317,0.104095922,0.084229911,0.017982389,0
NV_2016,0.111833288,0.08712598,0.08712598,0.083224896,0.03381028,0.01690514,-0.306651965,0.688224653,0.309607636,0.247176579,0.019890068,1
NH_2016,0.118159116,0.073382844,0.087064612,0.103233381,0.033582437,0.027363536,1.325711323,0.941575505,0.057613821,0.029592426,0.114327992,1
NJ_2016,0.113110513,0.086118234,0.089974213,0.092544913,0.0334191,0.0282777,1.866144047,0.695744169,0.303114543,0.181571836,0.797974391,1
NM_2016,0.125490112,0.081045514,0.074509636,0.08758202,0.03790872,0.024836964,-1.170868627,0.74803484,0.24586082,0.448037729,0.012528339,1
NY_2016,0.122940438,0.08238274,0.08491762,0.086185028,0.031685714,0.027883425,0.468836936,0.649460172,0.348272166,0.174422108,0.28527381,1
NC_2016,0.124352255,0.082901546,0.088082868,0.085492271,0.034974151,0.020725418,-0.782969058,0.703502649,0.288799984,0.07149873,0.145117384,0
ND_2016,0.151947035,0.079221289,0.067532396,0.08701217,0.033766198,0.031168667,0.385900264,0.881430219,0.106723255,0.025958182,0.007685732,0
OH_2016,0.119845308,0.078608218,0.082474181,0.094072182,0.03608251,0.028350583,-0.60075657,0.832027592,0.166163084,0.029558759,0.200684453,0
OK_2016,0.131473878,0.082337152,0.078353331,0.087649478,0.034528592,0.022576452,-0.926815579,0.75061382,0.246716986,0.081680854,0.041731923,0
OR_2016,0.114212976,0.08756353,0.079949269,0.082487356,0.035533215,0.027918955,-0.081419957,0.860245569,0.138787807,0.103070443,0.032243095,1
PA_2016,0.117424258,0.075757567,0.082070681,0.093434306,0.03661618,0.032828272,-0.13126469,0.825883343,0.171981767,0.058037272,0.219495358,0
RI_2016,0.134663186,0.071072466,0.082294497,0.093515347,0.031172176,0.032419724,0.194380669,0.823517401,0.173111741,0.124672179,0.548360782,1
SC_2016,0.122107883,0.082262131,0.080976817,0.086118071,0.035989812,0.023136419,-0.887208665,0.687401208,0.304487405,0.043749882,0.120084992,0
SD_2016,0.131298674,0.080901621,0.072943708,0.092837725,0.034482759,0.031830121,-0.33509035,0.873690921,0.12190947,0.028250362,0.007892701,0
TN_2016,0.120466315,0.082901535,0.085492129,0.086787426,0.036269483,0.02072553,-0.99899737,0.794895155,0.203703018,0.039917191,0.121381906,0
TX_2016,0.135685192,0.09226594,0.086838552,0.081411115,0.02849391,0.017639085,-0.163736155,0.749583523,0.247827645,0.354048181,0.075950868,0
UT_2016,0.162123097,0.106169403,0.076040165,0.071735854,0.025824926,0.017216774,0.802962104,0.873529239,0.125150879,0.122116137,0.024497689,0
VT_2016,0.130862753,0.0679011,0.080246755,0.097529881,0.037036964,0.028395401,-0.052257687,0.950921773,0.048070176,0.017298938,0.052087906,1
VA_2016,0.125963993,0.084832912,0.086118287,0.087403509,0.032133762,0.021850915,1.030055533,0.682629897,0.300010513,0.076977181,0.152571117,1
WA_2016,0.117117117,0.088803089,0.083655084,0.086229086,0.030888031,0.023166023,0.920128249,0.772641722,0.218647533,0.098898844,0.078925754,1
WV_2016,0.112090619,0.07430752,0.080604359,0.093198726,0.041561891,0.028967525,-1.550288386,0.937535766,0.06210864,0.011947831,0.059486556,0
WI_2016,0.124678536,0.079691413,0.080976823,0.095115665,0.034704511,0.028277684,-0.140468386,0.876465187,0.122341488,0.052982289,0.068133912,0
WY_2016,0.121371824,0.08179479,0.075197491,0.088389835,0.032981988,0.022428112,0.363976855,0.931300668,0.065166352,0.082056158,0.003964154,0
AL_2012,0.131853706,0.079634467,0.087467312,0.087467312,0.0339426,0.022193332,-1.217913797,0.707107037,0.292892963,0.03091743,0.069955858,0
AK_2012,0.142663041,0.078805398,0.107336483,0.096466773,0.016304565,0.008152283,1.7177061,0.704911731,0.295088269,0.050280021,0.000243097,0
AZ_2012,0.132885749,0.087248234,0.088590569,0.079194641,0.033557126,0.021476527,-0.488401698,0.83217691,0.16782309,0.265391441,0.04269782,0
AR_2012,0.126648747,0.081794114,0.091028983,0.084432648,0.03693948,0.022427541,-1.389972988,0.80497388,0.19502612,0.053130363,0.04155608,0
CA_2012,0.140957433,0.08909576,0.093085095,0.079787229,0.026595767,0.022606396,0.75292458,0.642146507,0.357853493,0.342815244,0.175984436,1
CO_2012,0.128947357,0.088157884,0.092105145,0.088157884,0.025000174,0.019736817,0.582870192,0.867736687,0.132263313,0.180610439,0.037434965,1
CT_2012,0.11969088,0.074646226,0.102959978,0.088802922,0.03217506,0.03217506,1.808747701,0.804033977,0.195966023,0.123312092,0.50580428,1
DE_2012,0.130490452,0.074935055,0.095606499,0.081395415,0.034883953,0.023256443,0.753396298,0.730644555,0.269355445,0.070740663,0.285265294,1
DC_2012,0.164053076,0.085645356,0.07358263,0.068757539,0.024125452,0.020506634,1.567699733,0.429921026,0.570078974,0.093285082,1.0004232,1
FL_2012,0.118686811,0.074494913,0.090909109,0.083333306,0.040404063,0.03030308,-0.817425098,0.793907225,0.206092775,0.220473591,0.232907228,1
GA_2012,0.139410089,0.092493287,0.097855235,0.080428939,0.025469148,0.016085843,-0.567532415,0.629316951,0.370683049,0.076525033,0.1247468,0
HI_2012,0.121950468,0.078305558,0.086007821,0.086007821,0.032092916,0.03080905,1.668529485,0.256345566,0.743654434,0.073663099,0.099119134,1
ID_2012,0.137173465,0.083676341,0.086419828,0.087791571,0.031550096,0.020576149,-0.783225534,0.933219036,0.066780964,0.096052322,0.013451845,0
IL_2012,0.127631588,0.085526279,0.093421056,0.084210517,0.030263143,0.024999992,0.376021789,0.74713094,0.25286906,0.139210786,0.168997272,1
IN_2012,0.135278494,0.082228156,0.091511869,0.087533047,0.030504092,0.023872723,-0.587698366,0.866335746,0.133664254,0.051316231,0.135618527,0
IA_2012,0.133507664,0.074607274,0.089005394,0.087696202,0.03534049,0.032722534,-0.110909258,0.935049886,0.064950114,0.0401742,0.04120133,1
KS_2012,0.137516548,0.078771931,0.08945239,0.088117391,0.033377771,0.028037309,-0.211974869,0.86901151,0.13098849,0.087799334,0.025790019,0
KY_2012,0.126797273,0.082352948,0.09411757,0.086274489,0.031372623,0.022222462,-1.205295337,0.892790086,0.107209914,0.025022408,0.082543481,0
LA_2012,0.140397185,0.080794544,0.09139064,0.086092736,0.03046374,0.019867644,-1.054227603,0.653633113,0.346366887,0.04217014,0.066086309,0
ME_2012,0.109159114,0.07402789,0.097866564,0.096612046,0.037641204,0.027604116,-0.59925546,0.964238683,0.035761317,0.01103749,0.029507683,1
MD_2012,0.1263021,0.080729058,0.100260426,0.085937572,0.028645932,0.023437641,2.267965307,0.605026928,0.394973072,0.07663691,0.365024058,1
MA_2012,0.13071062,0.077411112,0.097715733,0.087563326,0.031725957,0.029187904,1.585035374,0.825869883,0.174130117,0.08783707,0.49803584,1
MI_2012,0.131510304,0.078125027,0.095052037,0.092447922,0.032552094,0.026041676,-0.606685021,0.813935258,0.186064742,0.03713395,0.078290871,1
MN_2012,0.124835615,0.076215413,0.095926312,0.088042002,0.031537489,0.026281363,0.812596925,0.88567516,0.11432484,0.038288655,0.046617998,1
MS_2012,0.14037406,0.084224705,0.089572263,0.08556137,0.030748681,0.020053565,-1.740459563,0.617564801,0.382435199,0.022984084,0.045630366,0
MO_2012,0.128272171,0.079842811,0.091623073,0.087696391,0.032722635,0.026178021,-0.780395225,0.845143465,0.154856535,0.03004068,0.065663301,0
MT_2012,0.12724873,0.071979964,0.086118426,0.102827048,0.032133453,0.025706762,-0.81459479,0.913940806,0.086059194,0.026170318,0.004759521,0
NE_2012,0.135026188,0.07754028,0.089571741,0.086898164,0.034759411,0.028075104,-0.138150981,0.90499404,0.09500596,0.076507125,0.017432284,0
NV_2012,0.121532179,0.091149377,0.09247022,0.080581171,0.029062443,0.017173394,-0.239216592,0.728376216,0.271623784,0.234699337,0.018379378,1
NH_2012,0.119441039,0.077509292,0.105464111,0.094028093,0.030495728,0.024142491,1.323113879,0.95519479,0.04480521,0.02415695,0.111419532,1
NJ_2012,0.114583286,0.083333272,0.101562545,0.085937538,0.031250014,0.027343836,2.095316469,0.711818598,0.288181402,0.171401103,0.783722033,1
NM_2012,0.134486922,0.078562028,0.087882524,0.09054598,0.03195763,0.021305087,-1.074275624,0.739870875,0.260129125,0.432340554,0.01233363,1
NY_2012,0.130601774,0.080665803,0.094750291,0.084507057,0.030729833,0.026888645,0.521193045,0.671597995,0.328402005,0.167899548,0.279867304,1
NC_2012,0.13106156,0.085190062,0.094364253,0.085190062,0.031454796,0.019659349,-0.795136416,0.72156505,0.27843495,0.068147896,0.138180106,0
ND_2012,0.15917746,0.069320125,0.082156351,0.087291592,0.02952576,0.03209338,0.311514333,0.926736475,0.073263525,0.018251128,0.007148914,0
OH_2012,0.125326358,0.07832903,0.092689281,0.090078306,0.033942565,0.026109752,-0.597250658,0.84715471,0.15284529,0.0260972,0.19740649,1
OK_2012,0.135278297,0.082228121,0.087533139,0.08488063,0.033156534,0.02122042,-0.896437886,0.765194734,0.234805266,0.07501916,0.040668541,0
OR_2012,0.121133806,0.081185661,0.085051438,0.090206252,0.030927887,0.025773405,-0.33580088,0.880125941,0.119874059,0.097005894,0.030329645,1
PA_2012,0.126436731,0.075351239,0.093231136,0.090676836,0.035759895,0.031928545,-0.084021325,0.840524747,0.159475253,0.05021064,0.217197276,1
RI_2012,0.144120646,0.075853668,0.093552336,0.087230696,0.032869642,0.031605795,0.243468992,0.837132089,0.162867911,0.109886146,0.539728201,1
SC_2012,0.135240326,0.080624233,0.089726776,0.085825806,0.032509758,0.019505966,-1.019792179,0.69412909,0.30587091,0.043132449,0.113425084,0
SD_2012,0.136242524,0.074073777,0.089946614,0.084656204,0.034392486,0.033069883,-0.412573007,0.887594821,0.112405179,0.02415355,0.007589361,0
TN_2012,0.126631786,0.082245442,0.093994732,0.086161872,0.032637054,0.022193376,-1.084299635,0.805467793,0.194532207,0.038307621,0.117500438,0
TX_2012,0.141289434,0.094650173,0.093278468,0.078189283,0.026063094,0.017832649,-0.140391642,0.770806026,0.229193974,0.348891151,0.070609117,0
UT_2012,0.168849635,0.094614242,0.077146878,0.072780425,0.024745303,0.017467364,0.604923015,0.904176212,0.095823788,0.118730231,0.022618169,0
VT_2012,0.131085859,0.068663831,0.094880605,0.101122409,0.033708134,0.023721646,0.089924738,0.957682481,0.042317519,0.013996229,0.051751254,1
VA_2012,0.132124273,0.08290152,0.097150267,0.08290152,0.028497493,0.02072542,1.160960769,0.705744502,0.294255498,0.072664879,0.147691286,1
WA_2012,0.127438144,0.084525366,0.091027273,0.087126128,0.027308201,0.023407057,0.664713289,0.808135666,0.191864334,0.093246489,0.074079622,1
WV_2012,0.118537222,0.076923286,0.087011575,0.095838403,0.037830913,0.025221062,-1.385609595,0.942595374,0.057404626,0.009995854,0.060130617,0
WI_2012,0.126137715,0.076723027,0.096228723,0.089726748,0.032509873,0.027308339,-0.103125909,0.892114668,0.107885332,0.049171766,0.066636736,1
WY_2012,0.132543701,0.078739976,0.085302025,0.102361968,0.032807938,0.017062253,0.373427339,0.932210632,0.067789368,0.083828394,0.003911338,0
AL_2008,0.13260486,0.089126488,0.09886038,0.085708736,0.034604029,0.020613849,-1.133292668,0.738213711,0.261786289,0.027890912,0.067781879,0
AK_2008,0.178226215,0.097637885,0.096087543,0.106935729,0.023246715,0.012398528,1.816016494,0.794143199,0.205856801,0.047496839,0.000181886,0
AZ_2008,0.154473709,0.095773842,0.092684363,0.094228988,0.044797557,0.027805309,-0.129411997,0.876729499,0.123270501,0.244947728,0.040245521,0
AR_2008,0.138022996,0.090137389,0.085912258,0.091545608,0.039435345,0.026759953,-1.582136857,0.825338155,0.174661845,0.044845545,0.040223677,0
CA_2008,0.150945746,0.096722505,0.096722505,0.090860535,0.032240835,0.024913391,1.063374154,0.642311285,0.357688715,0.303986748,0.166270748,1
CO_2008,0.145242976,0.103745062,0.094852691,0.097816907,0.031123712,0.022231065,0.606544686,0.877724439,0.122275561,0.167132016,0.034856369,1
CT_2008,0.130509404,0.079381955,0.098218541,0.099564118,0.034982018,0.032291237,1.930670798,0.86507791,0.13492209,0.107111247,0.490737617,1
DE_2008,0.139927298,0.084242365,0.092808221,0.105659295,0.04140698,0.025702147,0.749087875,0.800981571,0.199018429,0.061659514,0.271368312,1
DC_2008,0.167455842,0.109808202,0.07961053,0.075494181,0.028824861,0.02059008,0.76970658,0.526588575,0.473411425,0.121351063,1.0004232,1
FL_2008,0.127760696,0.083754255,0.093691191,0.095110733,0.049684751,0.03690866,-0.511632739,0.941204007,0.058795993,0.193041141,0.220091026,1
GA_2008,0.15283712,0.100393011,0.101891512,0.092901102,0.031466584,0.019479321,-0.150269069,0.696987833,0.303012167,0.066725422,0.117740972,0
HI_2008,0.13160065,0.084992207,0.08362191,0.089105029,0.032900645,0.037013467,1.740811852,0.242017224,0.757982776,0.068908842,0.099178011,1
ID_2008,0.147354079,0.094184707,0.086589481,0.092666034,0.037977989,0.024306211,-0.540355907,0.961065637,0.038934363,0.080801049,0.012742895,0
IL_2008,0.134255765,0.089047211,0.090417213,0.093157109,0.032878967,0.02602928,0.492843848,0.813152502,0.186847498,0.127695797,0.165296572,1
IN_2008,0.141841699,0.084826977,0.088998668,0.094561203,0.033374579,0.026421621,-0.486842619,0.907151741,0.092848259,0.043641703,0.131557355,1
IA_2008,0.140215365,0.081679041,0.0830403,0.093930809,0.039478261,0.032671967,-0.368016901,0.975846088,0.024153912,0.033913179,0.040094595,1
KS_2008,0.145040504,0.084489736,0.081673444,0.091530467,0.035204138,0.029571553,-0.228930026,0.877664398,0.122335602,0.078256847,0.024860433,0
KY_2008,0.128798035,0.082798758,0.08674174,0.091998554,0.034170926,0.023657001,-1.264036713,0.90243434,0.09756566,0.019909664,0.084994234,0
LA_2008,0.142151922,0.087799831,0.086406088,0.093374504,0.03344774,0.022298394,-1.008269419,0.659789967,0.340210033,0.037530359,0.062925945,0
ME_2008,0.110054503,0.072506232,0.089338853,0.104875834,0.038842937,0.031074934,-0.6764632,0.985300173,0.014699827,0.008247906,0.02907285,1
MD_2008,0.133004293,0.089141142,0.100460581,0.097630899,0.032543712,0.025469033,2.19144379,0.662687071,0.337312929,0.064161479,0.348637205,1
MA_2008,0.137723956,0.078131979,0.092698828,0.092698828,0.03310685,0.029133895,1.574312826,0.831774574,0.168225426,0.072220938,0.475948185,1
MI_2008,0.132785862,0.076253253,0.088085666,0.095974029,0.034182511,0.027609007,-0.415809391,0.831855537,0.168144463,0.031025706,0.077328672,1
MN_2008,0.129303495,0.087139368,0.09135591,0.099788735,0.033731559,0.029515018,0.622515244,0.929250596,0.070749404,0.033645539,0.045054009,1
MS_2008,0.146161389,0.089945687,0.085729145,0.094161759,0.036540699,0.023892014,-1.701558492,0.656858111,0.343141889,0.026800831,0.044565025,0
MO_2008,0.135759696,0.081732897,0.085888857,0.095585946,0.037403186,0.027706098,-0.625452761,0.884653652,0.115346348,0.026033296,0.063925439,0
MT_2008,0.140064842,0.081820781,0.079047447,0.108169478,0.040216718,0.027736042,-0.970965056,0.936061596,0.063938404,0.019219592,0.004542751,0
NE_2008,0.141078792,0.084647575,0.080414859,0.095933818,0.036681041,0.029626764,-0.281728214,0.946602542,0.053397458,0.065637468,0.016780691,1
